Refactoring_Type,Performance_Freq,Non_Performance_Freq,Performance_Percentage,Non_Performance_Percentage,Chi2,p-value,Odds_Ratio
Change Variable Type,1807,654350,9.19780107910007,7.90899512672462,44.50475528214597,<0.001,1.179
Add Parameter,1215,382370,6.1844650310495775,4.621628282426366,108.16244849009726,<0.001,1.360
Move Class,929,320860,4.728697953781941,3.8781694450383766,37.7874328914052,<0.001,1.230
Change Parameter Type,880,496108,4.479283314669653,5.996356314402227,79.80073021534736,<0.001,0.735
Rename Method,875,366831,4.453832841290848,4.433811555484861,0.014117366227686804,0.905,1.005
Add Method Annotation,796,496478,4.051715361905731,6.000828429015032,131.75232827659707,<0.001,0.661
Change Return Type,760,400498,3.8684719535783367,4.840737724861246,40.028157246308005,<0.001,0.791
Rename Variable,746,280483,3.797210628117683,3.390140872818983,9.789552769881631,0.002,1.125
Change Attribute Type,676,270550,3.4409040008144154,3.2700827256595795,1.7542317267667278,0.185,1.054
Extract Method,653,209031,3.323831823271913,2.526515107105332,50.23399502667689,<0.001,1.326
Change Method Access Modifier,595,290024,3.0286063320777767,3.505460995848065,13.038988648355,<0.001,0.860
Rename Attribute,571,214784,2.9064440598595134,2.5960504459363043,7.343310812444792,0.007,1.123
Rename Parameter,562,272249,2.860633207777665,3.290618192489724,11.255525959210328,<0.001,0.865
Remove Parameter,535,194468,2.7232006515321183,2.350495093304628,11.695573364796832,<0.001,1.163
Extract Variable,488,181709,2.483966201771353,2.1962796599404046,7.416035524235167,0.006,1.134
Move Attribute,430,114184,2.1887407105772168,1.3801187431037274,93.43631245110117,<0.001,1.599
Move Method,393,164530,2.000407207574061,1.9886405871475537,0.00853976713406828,0.926,1.006
Add Variable Modifier,371,133652,1.8884251247073196,1.6154244925147074,9.016374478050425,0.003,1.172
Pull Up Attribute,367,35764,1.8680647460042756,0.4322721811143567,928.1494901412198,<0.001,4.385
Change Attribute Access Modifier,355,143823,1.806983609895144,1.7383592971818063,0.5008776107201639,0.479,1.040
Add Attribute Modifier,355,130885,1.806983609895144,1.5819803272886863,6.227271853807417,0.013,1.145
Pull Up Method,326,78752,1.659370864298076,0.9518593783446432,103.13301673552469,<0.001,1.756
Remove Method Annotation,291,162443,1.481217550646442,1.9634154433720903,23.438753538986706,<0.001,0.751
Extract And Move Method,270,68338,1.3743255624554618,0.8259874821885949,71.1610487954899,<0.001,1.673
Inline Variable,222,75302,1.1300010180189353,0.9101599312793113,10.254879791677022,0.001,1.244
Remove Attribute Modifier,207,70666,1.0536495978825207,0.8541255438605058,8.974758725373267,0.003,1.236
Add Thrown Exception Type,200,68119,1.0180189351521938,0.8233404738096651,8.855079391352026,0.003,1.239
Add Attribute Annotation,197,71286,1.0027486511249109,0.8616193575360148,4.40463232286431,0.036,1.165
Modify Class Annotation,195,83993,0.9925684617733891,1.015206277495195,0.07869774631164193,0.779,0.977
Rename Class,187,68044,0.9518477043673013,0.8224339640908536,3.8657757164281183,0.049,1.159
Remove Thrown Exception Type,181,102267,0.9213071363127354,1.2360803921826953,15.659767863327014,<0.001,0.743
Add Parameter Modifier,170,108350,0.8653160948793648,1.3096043737764385,29.614305802882594,<0.001,0.658
Change Class Access Modifier,165,40266,0.8398656215005599,0.48668693783555217,49.66644804593676,<0.001,1.732
Add Parameter Annotation,160,82003,0.8144151481217551,0.9911535529560617,6.06238981574781,0.014,0.820
Add Class Annotation,158,117322,0.8042349587702332,1.4180471097388032,52.4383041756459,<0.001,0.564
Add Method Modifier,155,81781,0.7889646747429502,0.9884702841883796,7.77199003522539,0.005,0.797
Remove Method Modifier,147,51076,0.7482439173368625,0.6173452053069254,5.259740740394611,0.022,1.214
Parameterize Variable,116,41577,0.5904509823882724,0.5025327277203783,2.855422538146984,0.091,1.176
Inline Method,110,38747,0.5599104143337066,0.46832709433055525,3.331407887875883,0.068,1.197
Push Down Method,102,35757,0.5191896569276189,0.432187573540601,3.2468050680731824,0.072,1.202
Remove Class Annotation,99,55342,0.503919372900336,0.6689074781129272,7.787803048702578,0.005,0.752
Encapsulate Attribute,96,42038,0.48864908887305303,0.5081047407920066,0.11080264958632535,0.739,0.962
Replace Variable With Attribute,92,46660,0.4682887101700091,0.5639699130633006,3.032481982408573,0.082,0.830
Move And Rename Class,87,30726,0.4428382367912044,0.3713789016027213,2.514131239221729,0.113,1.193
Remove Parameter Annotation,87,30726,0.4428382367912044,0.3713789016027213,2.514131239221729,0.113,1.193
Extract Class,84,27174,0.42756795276392134,0.32844660131980563,5.57937504102559,0.018,1.303
Replace Attribute With Variable,77,24494,0.3919372900335946,0.29605398736760574,5.779521267534344,0.016,1.325
Add Class Modifier,73,43689,0.37157691133055076,0.5280600414021118,8.847521292836802,0.003,0.703
Change Thrown Exception Type,69,33824,0.3512165326275069,0.4088237963877642,1.459632452094912,0.227,0.859
Move And Rename Method,68,32358,0.3461264379517459,0.39110455308406084,0.9058496457329243,0.341,0.885
Remove Attribute Annotation,67,43569,0.3410363432759849,0.5266096258520134,12.543440380000774,<0.001,0.646
Remove Variable Modifier,66,40108,0.33594624860022393,0.48477722402792245,8.699534679621209,0.003,0.692
Move And Inline Method,55,29019,0.2799552071668533,0.3507467404025701,2.612564622145733,0.106,0.798
Extract Attribute,52,22504,0.26468492313957037,0.27200126282847226,0.016407970338511182,0.898,0.973
Move Code,49,22875,0.2494146391122875,0.27648546423752685,0.427470556252688,0.513,0.902
Split Conditional,49,13142,0.2494146391122875,0.15884467632828753,9.561546716012353,0.002,1.572
Localize Parameter,45,17820,0.22905426040924362,0.21538670918962743,0.11267551125957605,0.737,1.064
Merge Conditional,45,15361,0.22905426040924362,0.185665277208859,1.7628169517076604,0.184,1.234
Extract Superclass,43,11931,0.21887407105772166,0.14420756606854349,7.069804372570966,0.008,1.519
Modify Method Annotation,34,90258,0.17306321897587296,1.0909300560065878,152.47894116672785,<0.001,0.157
Remove Parameter Modifier,31,37261,0.15779293494859004,0.4503661151018355,36.82703259543556,<0.001,0.349
Modify Attribute Annotation,29,45035,0.1476127455970681,0.5443288691557168,56.345045395090025,<0.001,0.270
Push Down Attribute,24,12801,0.12216227221826326,0.15472307880675765,1.1431453919288093,0.285,0.789
Parameterize Attribute,23,7466,0.11707217754250228,0.09024002080862842,1.2807576759631452,0.258,1.298
Remove Class Modifier,20,18622,0.10180189351521939,0.22508031978278578,12.736761261889624,<0.001,0.452
Merge Parameter,19,8648,0.09671179883945842,0.10452661397709867,0.05201571073213374,0.820,0.925
Replace Anonymous With Lambda,17,34203,0.08653160948793648,0.41340469216682535,50.16854076607284,<0.001,0.209
Change Type Declaration Kind,17,6624,0.08653160948793648,0.08006293836543728,0.03759353856769735,0.846,1.081
Merge Variable,17,3220,0.08653160948793648,0.03891948392764312,10.199810644386664,0.001,2.224
Merge Attribute,16,4462,0.08144151481217551,0.0539312848711626,2.2624168295100024,0.133,1.511
Move Source Folder,16,14137,0.08144151481217551,0.17087103859785427,8.683207654390603,0.003,0.476
Move And Rename Attribute,14,4320,0.07126132546065357,0.052214959803546054,1.0209869001155143,0.312,1.365
Reorder Parameter,13,6349,0.06617123078489259,0.07673906939646154,0.16432325049878066,0.685,0.862
Invert Condition,12,22011,0.06108113610913163,0.2660424722768176,30.318399817177013,<0.001,0.229
Replace Loop With Pipeline,12,4511,0.06108113610913163,0.05452353788745282,0.05771719180175182,0.810,1.120
Extract Subclass,11,3112,0.055991041433370664,0.037614109932554464,1.3040315937017328,0.253,1.489
Modify Parameter Annotation,10,14796,0.05090094675760969,0.1788362373271452,17.2896766662385,<0.001,0.284
Extract Interface,9,6625,0.04581085208184872,0.08007502516168809,2.4661070779897925,0.116,0.572
Split Parameter,9,3709,0.04581085208184872,0.04482992729429451,0.0,1.000,1.022
Add Variable Annotation,9,5377,0.04581085208184872,0.06499070344066368,0.8350231152007784,0.361,0.705
Replace Pipeline With Loop,8,1552,0.04072075740608776,0.01875870778127395,3.9265761232845406,0.048,2.171
Split Attribute,8,2445,0.04072075740608776,0.029552216833256966,0.49221109149872244,0.483,1.378
Remove Variable Annotation,7,3004,0.035630662730326786,0.036308735937465815,0.0,1.000,0.981
Split Method,7,1920,0.035630662730326786,0.02320664880157602,0.8223821312658534,0.364,1.536
Collapse Hierarchy,6,1087,0.030540568054565814,0.013138347524642258,3.2803411040878445,0.070,2.325
Inline Attribute,5,3443,0.025450473378804846,0.04161483949157617,0.8739800978709902,0.350,0.611
Split Variable,5,550,0.025450473378804846,0.006647737937951464,7.73559384022675,0.005,3.829
Merge Method,3,506,0.015270284027282907,0.006115918902915347,1.3924849191273856,0.238,2.497
Split Class,2,1031,0.01018018935152194,0.012461486934596292,0.0,1.000,0.817
Assert Throws,2,8249,0.01018018935152194,0.09970398227302116,14.916075790792723,<0.001,0.102
Replace Anonymous With Class,2,2718,0.01018018935152194,0.032851912209731056,2.4200243730624997,0.120,0.310
Merge Catch,2,2221,0.01018018935152194,0.026844774473073096,1.456830465728235,0.227,0.379
Merge Class,2,1680,0.01018018935152194,0.02030581770137902,0.55454563603347,0.456,0.501
Replace Attribute,2,571,0.01018018935152194,0.0069015606592187015,0.015015840135369576,0.902,1.475
Modify Variable Annotation,1,95,0.00509009467576097,0.0011482456438279803,0.3274915141918167,0.567,4.433
Parameterize Test,1,99,0.00509009467576097,0.0011965928288312636,0.29291340780627245,0.588,4.254
Replace Generic With Diamond,0,83996,0.0,1.0152425378839476,200.48401100845786,<0.001,0.000
Try With Resources,0,8375,0.0,0.10122691860062456,18.91639975623904,<0.001,0.000
Move Package,0,5634,0.0,0.06809701007712464,12.403165980896828,<0.001,0.000
Rename Package,0,5013,0.0,0.060591109605364894,10.92906285487409,<0.001,0.000
Split Package,0,1493,0.0,0.01804558680247552,2.614184500014347,0.106,0.000
Merge Package,0,1182,0.0,0.01428659316847024,1.8941341791639954,0.169,0.000
